Forma	Frecuencia	Frec. norm.
vez	363192	737.29
Es	360047	730.91
»	358292	727.34
«	356217	723.13
cada	355485	721.64
dijo	350027	710.56
esa	348809	708.09
mismo	338234	686.62
bien	330963	671.86
año	327389	664.61
!	326782	663.38
e	324810	659.37
otros	323567	656.85
hacer	322153	653.98
otro	321851	653.37
'	320698	651.03
¡	319599	648.79
día	317253	644.03
hace	313487	636.39
país	306881	622.98
ella	306308	621.81
Las	305375	619.92
mundo	304932	619.02
estaba	301251	611.55
De	299769	608.54
algo	297377	603.68
siempre	294831	598.51
tres	291358	591.46
después	290003	588.71
sólo	286584	581.77
tan	284052	576.63
sido	279045	566.47
otra	276174	560.64
forma	272904	554.0
durante	271998	552.16
nada	270960	550.06
sí	270694	549.52
ahora	270268	548.65
personas	267535	543.1
mucho	267311	542.65
antes	264068	536.06
momento	262705	533.3
poco	260787	529.4
casa	258056	523.86
menos	256151	519.99
están	254137	515.9
les	251067	509.67
quien	249868	507.24
trabajo	248431	504.32
sino	245092	497.54
gran	244795	496.94
aunque	244701	496.75
mejor	242409	492.1
mayor	240009	487.22
contra	239083	485.34
solo	237964	483.07
caso	237314	481.75
hecho	234786	476.62
primera	234775	476.6
Si	233911	474.84
ver	233799	474.62
Lo	231249	469.44
1	230468	467.86
cuenta	228458	463.77
ellos	228186	463.22
unos	225800	458.38
estos	224261	455.25
lugar	221379	449.4
hacia	221237	449.12
Para	220489	447.6
mientras	218404	443.36
cómo	215264	436.99
días	214571	435.58
Me	214398	435.23
tenía	214032	434.49
tanto	213581	433.57
manera	209547	425.38
Un	209488	425.26
tener	209318	424.92
otras	209017	424.31
millones	205981	418.15
va	204939	416.03
tienen	203278	412.66
pasado	200675	407.37
veces	197944	401.83
ante	197293	400.51
nuevo	197117	400.15
Una	192412	390.6
cosas	190706	387.14
casi	190176	386.06
Al	188544	382.75
2	188462	382.58
primer	185663	376.9
esto	185640	376.85
pueden	183649	372.81
tu	182481	370.44
hoy	182382	370.24
todas	180936	367.3
además	179706	364.81
según	177683	360.7
historia	177133	359.58
nunca	176667	358.64
algunos	176541	358.38
hombre	176381	358.06
entonces	176177	357.64
debe	174396	354.03
tipo	174163	353.55
gente	173898	353.02
Con	173671	352.55
dice	172606	350.39
toda	172214	349.6
medio	170833	346.79
mujer	170387	345.89
fueron	170071	345.25
Qué	168324	341.7
cual	168313	341.68
poder	167639	340.31
pues	167530	340.09
estar	166384	337.76
misma	165366	335.7
sea	165078	335.11
lado	164036	333.0
importante	163680	332.27
Sin	163304	331.51
luego	162384	329.64
estas	160575	325.97
Yo	160074	324.95
fuera	159672	324.14
presidente	159497	323.78
mujeres	158709	322.18
Cuando	158698	322.16
”	158554	321.87
“	157285	319.29
noche	156845	318.4
ciudad	156578	317.86
muchos	156559	317.82
frente	156242	317.17
mí	155862	316.4
sistema	154247	313.12
grupo	151453	307.45
agua	151119	306.77
cuatro	151062	306.66
ejemplo	150708	305.94
aquí	150591	305.7
nuestro	149263	303.01
política	148971	302.41
3	148089	300.62
hizo	145285	294.93
haber	144809	293.96
mis	144798	293.94
aún	144700	293.74
final	144028	292.38
madre	143900	292.12
tras	143822	291.96
proceso	143230	290.76
dentro	142600	289.48
punto	142512	289.3
información	142087	288.44
he	141764	287.78
padre	141387	287.02
equipo	140503	285.22
tal	140134	284.47
España	139775	283.74
social	139663	283.52
mano	139236	282.65
Nacional	139224	282.63
bajo	139082	282.34
general	138575	281.31
será	137944	280.03
habían	137817	279.77
cualquier	137586	279.3
desarrollo	137386	278.89
países	136320	276.73
estado	134820	273.69
horas	134320	272.67
Como	133965	271.95
grandes	133623	271.26
decir	132855	269.7
Este	132724	269.43
nuestra	132149	268.26
ojos	131046	266.02
Estado	130313	264.54
esos	129608	263.1
Su	129104	262.08
Así	128669	261.2
cambio	128315	260.48
tarde	128311	260.47
cuerpo	128284	260.42
situación	127633	259.1
nivel	127381	258.58
nueva	127140	258.09
gobierno	126894	257.6
eran	126565	256.93
realidad	125853	255.48
meses	125784	255.34
Estados	125776	255.33
niños	125069	253.89
sentido	125000	253.75
posible	124598	252.93
Gobierno	123982	251.68
muchas	123107	249.91
nadie	122997	249.68
parece	122798	249.28
salud	122586	248.85
ello	122273	248.21
familia	120855	245.34
podría	120842	245.31
público	119425	242.43
Además	119335	242.25
Esta	118941	241.45
cabeza	118879	241.32
cinco	118604	240.77
fin	118458	240.47
sé	118430	240.41
incluso	117737	239.01
último	117616	238.76
4	116927	237.36
dar	115828	235.13
verdad	114994	233.44
También	114945	233.34
da	114515	232.47
llegar	114249	231.93
nombre	114223	231.87
podía	113730	230.87
obra	113418	230.24
número	113278	229.95
unas	113117	229.63
–	112967	229.32
partido	112867	229.12
alguna	112370	228.11
hora	112335	228.04
ahí	112246	227.86
persona	112050	227.46
proyecto	109911	223.12
mañana	109818	222.93
junto	109377	222.04
problemas	109231	221.74
algunas	109141	221.56
segundo	108977	221.22
10	108682	220.62
allí	108261	219.77
nosotros	108244	219.74
casos	108069	219.38
México	107708	218.65
largo	107363	217.95
diferentes	107235	217.69
iba	106897	217.0
manos	106325	215.84
semana	106268	215.72
muerte	106023	215.23
quienes	105964	215.11
algún	105711	214.59
Ya	105551	214.27
esas	105517	214.2
5	105102	213.36
ir	104802	212.75
estudio	104579	212.29
falta	104527	212.19
uso	103284	209.67
nacional	103143	209.38
idea	102724	208.53
problema	102570	208.22
hombres	102205	207.48
varios	101649	206.35
libro	101080	205.19
paso	100310	203.63
sociedad	100194	203.39
mal	100053	203.11
población	99889	202.77
datos	99752	202.5
tuvo	99748	202.49
buena	99587	202.16
Hay	99552	202.09
tema	99190	201.36
dio	98603	200.16
trata	98553	200.06
voz	98153	199.25
San	97981	198.9
mayoría	97521	197.97
todavía	96924	196.75
ayer	96673	196.25
Desde	96582	196.06
Le	95851	194.58
atención	95848	194.57
Juan	95457	193.78
claro	95423	193.71
puerta	95123	193.1
hablar	94708	192.26
centro	94650	192.14
palabras	94347	191.52
espacio	94191	191.21
sería	93968	190.75
cosa	93785	190.38
investigación	93119	189.03
seguridad	93118	189.03
relación	93000	188.79
sociales	92695	188.17
minutos	92544	187.86
José	92442	187.66
mercado	92406	187.58
últimos	92046	186.85
música	91970	186.7
6	91955	186.67
luz	91180	185.09
dicho	90997	184.72
tengo	90745	184.21
tú	89709	182.11
sector	89694	182.08
van	89686	182.06
producción	89561	181.81
saber	89435	181.55
usted	89227	181.13
único	89149	180.97
ellas	88819	180.3
aquel	88696	180.05
Según	88675	180.01
hemos	88602	179.86
recursos	88288	179.22
empresas	88026	178.69
calidad	87802	178.24
Ahora	87684	178.0
sabe	87654	177.94
primero	87569	177.76
pueblo	87412	177.45
empresa	87224	177.06
hijo	87130	176.87
zona	86953	176.51
siglo	86945	176.5
dinero	86792	176.19
buen	86786	176.17
quiere	86565	175.73
alguien	86322	175.23
servicios	86253	175.09
amor	86164	174.91
propio	85458	173.48
tenemos	85441	173.44
cerca	85312	173.18
Sí	85134	172.82
última	84746	172.03
segunda	84680	171.9
camino	84430	171.39
director	84423	171.38
20	84233	170.99
calle	84144	170.81
condiciones	83892	170.3
siendo	82880	168.24
hacía	82680	167.84
propia	82482	167.44
resultados	82397	167.26
creo	82264	166.99
total	82253	166.97
estaban	82234	166.93
modo	82130	166.72
hijos	82032	166.52
programa	81641	165.73
ciento	81566	165.58
edad	81500	165.44
seguir	81399	165.24
Era	81182	164.8
seis	81016	164.46
allá	81002	164.43
visto	80973	164.37
puntos	80620	163.66
llegó	80434	163.28
derecho	80168	162.74
Esto	79989	162.38
joven	79869	162.13
capacidad	79795	161.98
estoy	79789	161.97
estamos	79733	161.86
juego	79687	161.76
Aunque	79596	161.58
cara	79327	161.03
hubiera	79132	160.64
nuevos	78916	160.2
jóvenes	78904	160.17
papel	78828	160.02
puesto	78611	159.58
ningún	78523	159.4
presencia	78425	159.2
futuro	78401	159.15
salir	78380	159.11
nuevas	77922	158.18
pasar	77473	157.27
varias	77115	156.54
experiencia	76716	155.73
actividad	76591	155.48
deben	76501	155.3
igual	76500	155.29
cierto	75848	153.97
alto	75847	153.97
Cómo	75731	153.73
vista	75571	153.41
personal	75484	153.23
riesgo	75481	153.22
ley	75240	152.74
Eso	75093	152.44
dólares	74968	152.18
sigue	74938	152.12
dado	74888	152.02
arte	74528	151.29
objetivo	74501	151.24
nuestros	74196	150.62
15	73843	149.9
Madrid	73579	149.36
tenido	73465	149.13
Que	73400	149.0
haya	73400	149.0
aquella	73280	148.76
mes	73263	148.72
apenas	73034	148.26
voy	72936	148.06
control	72913	148.01
difícil	72876	147.94
quería	72809	147.8
serie	72644	147.47
guerra	72585	147.35
actividades	72532	147.24
productos	72471	147.11
medios	72439	147.05
siguiente	72419	147.01
hacen	72397	146.96
educación	72225	146.61
dejar	72042	146.24
razón	72023	146.2
campo	71971	146.1
primeros	71957	146.07
principal	71883	145.92
Universidad	71878	145.91
demás	71828	145.81
niño	71778	145.71
grupos	71766	145.68
pensar	71667	145.48
pasa	71419	144.98
fuerza	71234	144.6
acuerdo	70936	144.0
valor	70497	143.11
aire	70489	143.09
tampoco	70451	143.01
necesario	70416	142.94
derechos	70380	142.87
Mi	70346	142.8
padres	70218	142.54
quién	70103	142.31
tierra	69912	141.92
haciendo	69906	141.91
encuentra	69819	141.73
resto	69750	141.59
gracias	69307	140.69
conocer	69263	140.6
soy	69030	140.13
7	68812	139.69
imagen	68494	139.04
político	68448	138.95
media	68335	138.72
cultura	68271	138.59
posibilidad	68186	138.42
tomar	68178	138.4
anterior	68131	138.3
ninguna	68040	138.12
obras	67975	137.99
Después	67935	137.91
muestra	67903	137.84
debido	67822	137.68
crisis	67568	137.16
ambos	67459	136.94
pronto	67221	136.46
principio	67201	136.42
servicio	67193	136.4
respecto	67060	136.13
menor	67041	136.09
español	67022	136.05
Te	66953	135.91
estudios	66949	135.9
permite	66854	135.71
alta	66803	135.61
bueno	66793	135.59
quiero	66637	135.27
12	66574	135.14
existe	66531	135.06
resultado	66495	134.98
actual	66412	134.81
políticas	66304	134.59
amigos	66261	134.51
30	66166	134.31
Todo	66099	134.18
aquellos	66051	134.08
interés	66025	134.03
evitar	65975	133.93
necesidad	65883	133.74
Fue	65789	133.55
apoyo	65788	133.55
mediante	65198	132.35
respuesta	65179	132.31
capital	65011	131.97
especial	64951	131.85
internacional	64835	131.61
Entre	64794	131.53
fondo	64737	131.41
decisión	64611	131.16
cuales	64599	131.13
decía	64586	131.11
podemos	64403	130.74
mesa	64338	130.6
época	64303	130.53
película	64225	130.37
Carlos	64212	130.35
cantidad	64138	130.2
8	63950	129.82
base	63820	129.55
fuerte	63802	129.52
modelo	63649	129.21
vamos	63540	128.98
efecto	63346	128.59
sabía	63175	128.24
orden	63099	128.09
diez	63075	128.04
Luego	62718	127.32
euros	62504	126.88
presente	62397	126.66
miedo	61743	125.34
carrera	61737	125.32
mirada	61724	125.3
dejó	61694	125.24
pública	61582	125.01
queda	61439	124.72
lleva	61414	124.67
DE	61225	124.28
región	61188	124.21
crecimiento	61109	124.05
trabajar	61095	124.02
enfermedad	61002	123.83
participación	60991	123.81
conjunto	60802	123.43
puedo	60781	123.38
demasiado	60724	123.27
cine	60671	123.16
importantes	60620	123.06
análisis	60507	122.83
vivir	60501	122.81
importancia	60491	122.79
O	60409	122.63
quedó	60375	122.56
ex	60312	122.43
parecía	60282	122.37
Dios	60174	122.15
mayores	60074	121.95
acción	60001	121.8
palabra	59854	121.5
ayuda	59851	121.5
Colombia	59741	121.27
alrededor	59652	121.09
habría	59578	120.94
silencio	59536	120.86
única	59463	120.71
local	59409	120.6
duda	59330	120.44
medida	59274	120.32
grande	59173	120.12
Europa	59142	120.06
libros	59126	120.02
pregunta	59090	119.95
comunidad	59019	119.81
volver	58998	119.76
mejores	58940	119.65
línea	58890	119.54
principales	58874	119.51
cambios	58662	119.08
comunicación	58542	118.84
medidas	58369	118.49
espera	58318	118.38
pudo	58232	118.21
dónde	58229	118.2
encima	58201	118.15
humanos	58151	118.04
Entonces	58140	118.02
acceso	58017	117.77
suelo	58000	117.74
partidos	57990	117.72
interior	57908	117.55
pasó	57886	117.51
atrás	57766	117.26
cabo	57745	117.22
pueda	57685	117.1
realizar	57463	116.65
encuentro	57417	116.55
consumo	57355	116.43
energía	56890	115.48
Ministerio	56796	115.29
Argentina	56706	115.11
movimiento	56500	114.69
conocimiento	56402	114.49
acciones	56371	114.43
bastante	56305	114.3
encontrar	56159	114.0
autoridades	56157	114.0
próximo	56104	113.89
viene	56024	113.73
relaciones	56011	113.7
siete	55852	113.38
pequeño	55815	113.3
llevar	55815	113.3
libertad	55785	113.24
poner	55710	113.09
ve	55687	113.04
especialmente	55686	113.04
Ella	55579	112.82
Luis	55507	112.68
mucha	55468	112.6
11	55467	112.6
temas	55414	112.49
dije	55380	112.42
violencia	55362	112.38
formación	55350	112.36
busca	55322	112.3
América	55307	112.27
tecnología	55229	112.11
boca	55178	112.01
común	55127	111.91
economía	55090	111.83
viaje	55017	111.68
Chile	55015	111.68
éxito	54738	111.12
diferencia	54622	110.88
construcción	54617	110.87
metros	54610	110.86
amigo	54556	110.75
humano	54411	110.45
hacerlo	54400	110.43
pacientes	54274	110.17
María	54223	110.07
color	54216	110.06
origen	54175	109.97
Mientras	54082	109.78
tratamiento	54050	109.72
compañía	54040	109.7
natural	53989	109.6
políticos	53925	109.47
área	53706	109.02
cuarto	53627	108.86
organización	53609	108.82
momentos	53498	108.6
mismos	53392	108.38
clase	53312	108.22
seguro	53177	107.95
libre	53028	107.64
especie	53023	107.63
fácil	52988	107.56
oportunidad	52920	107.42
tenían	52699	106.98
proyectos	52587	106.75
par	52523	106.62
corazón	52479	106.53
estuvo	52424	106.42
gusta	52373	106.31
pie	52370	106.31
miembros	52301	106.17
sangre	52296	106.16
cargo	52175	105.91
lejos	52166	105.89
Más	52070	105.7
explica	51984	105.52
contrario	51970	105.5
baja	51931	105.42
mitad	51788	105.13
pocos	51778	105.11
causa	51690	104.93
Durante	51631	104.81
─	51456	104.45
ministro	51417	104.37
elementos	51350	104.24
naturaleza	51252	104.04
mar	51251	104.04
dolor	51169	103.87
instituciones	51116	103.76
9	51062	103.65
formas	51040	103.61
prensa	51038	103.6
real	50892	103.31
económica	50866	103.26
tiempos	50777	103.07
función	50737	102.99
nuestras	50712	102.94
jefe	50680	102.88
mundial	50631	102.78
memoria	50530	102.57
procesos	50440	102.39
ocho	50278	102.06
explicó	50260	102.02
Son	50258	102.02
buscar	50252	102.01
semanas	50182	101.87
hija	50125	101.75
televisión	50078	101.66
piel	49854	101.2
efectos	49799	101.09
mantener	49756	101.0
cama	49555	100.59
plan	49542	100.57
18	49374	100.23
puso	49189	99.85
señor	49101	99.67
producto	49059	99.59
tus	49051	99.57
Él	48988	99.44
suerte	48939	99.34
materia	48908	99.28
económico	48875	99.21
autor	48839	99.14
Porque	48803	99.07
cultural	48550	98.55
posición	48466	98.38
sola	48417	98.28
enero	48338	98.12
niveles	48280	98.01
14	48274	97.99
sitio	48165	97.77
sean	48103	97.65
señaló	48088	97.62
médico	48076	97.59
preguntó	47943	97.32
volvió	47935	97.31
vuelta	47903	97.24
llega	47875	97.18
partes	47794	97.02
sueño	47766	96.96
programas	47749	96.93
entender	47730	96.89
peso	47700	96.83
vino	47683	96.79
deja	47653	96.73
hubo	47622	96.67
Nos	47579	96.58
Hasta	47516	96.45
diciembre	47446	96.31
acerca	47376	96.17
25	47370	96.16
pequeña	47253	95.92
fecha	47193	95.8
entrada	47147	95.71
comenzó	47079	95.57
blanco	46927	95.26
0	46871	95.15
teléfono	46832	95.07
carácter	46771	94.94
creación	46722	94.84
vio	46663	94.72
ciencia	46544	94.48
propuesta	46443	94.28
llamado	46311	94.01
Todos	46301	93.99
capaz	46280	93.95
50	46263	93.91
novela	46234	93.85
Mundial	46223	93.83
entrar	46173	93.73
adelante	45995	93.37
estudiantes	45977	93.33
lugares	45921	93.22
alimentos	45909	93.19
habla	45847	93.07
dirección	45802	92.98
temporada	45777	92.92
existen	45710	92.79
16	45555	92.47
campaña	45495	92.35
LA	45485	92.33
red	45434	92.23
precio	45272	91.9
imágenes	45186	91.72
práctica	45158	91.67
crear	45153	91.66
13	45091	91.53
distintos	45039	91.43
Ley	44880	91.1
hermano	44816	90.97
valores	44754	90.85
Nueva	44735	90.81
gestión	44707	90.75
cuyo	44663	90.66
negro	44612	90.56
marzo	44493	90.32
encuentran	44469	90.27
zonas	44397	90.12
cuya	44314	89.95
aumento	44247	89.82
sol	44177	89.68
resulta	43874	89.06
peor	43853	89.02
contar	43841	88.99
especies	43815	88.94
figura	43652	88.61
policía	43621	88.55
éste	43609	88.52
Uno	43530	88.36
trabajadores	43468	88.24
Venezuela	43438	88.18
Esa	43413	88.13
digo	43399	88.1
República	43390	88.08
Salud	43387	88.07
lucha	43376	88.05
Instituto	43244	87.78
viejo	43204	87.7
llegado	43166	87.62
detrás	43145	87.58
escenario	43100	87.49
ideas	43081	87.45
Hoy	43027	87.34
Centro	42969	87.22
fútbol	42743	86.77
tienes	42728	86.73
sistemas	42666	86.61
animales	42663	86.6
elecciones	42658	86.59
ocasiones	42563	86.4
marcha	42516	86.3
ti	42512	86.3
Consejo	42503	86.28
plazo	42498	86.27
domingo	42494	86.26
informe	42370	86.01
lograr	42350	85.97
existencia	42343	85.95
características	42275	85.82
diario	42252	85.77
género	42231	85.73
acto	42218	85.7
hechos	42217	85.7
lista	42201	85.66
has	42198	85.66
Congreso	42135	85.53
mejorar	42132	85.52
cocina	42126	85.51
título	42111	85.48
equipos	42055	85.37
mamá	42049	85.36
/	42031	85.32
ido	42015	85.29
redes	41988	85.23
Barcelona	41987	85.23
escuela	41903	85.06
texto	41839	84.93
distintas	41811	84.87
española	41779	84.81
debía	41762	84.77
particular	41716	84.68
somos	41637	84.52
estilo	41608	84.46
presenta	41575	84.39
rostro	41541	84.33
daba	41528	84.3
Ese	41492	84.23
100	41462	84.16
ciudadanos	41461	84.16
sectores	41421	84.08
conocido	41378	83.99
oficial	41342	83.92
familias	41326	83.89
prueba	41313	83.86
esfuerzo	41235	83.7
EL	41185	83.6
suficiente	41175	83.58
jugar	41172	83.58
comida	41159	83.55
mira	41144	83.52
pequeños	41138	83.51
marco	41108	83.45
enfermedades	41105	83.44
17	41098	83.43
mayo	41096	83.42
llevó	41078	83.39
Santa	41077	83.38
artículo	41064	83.36
serán	41059	83.35
etc	40998	83.22
teatro	40806	82.83
locales	40718	82.65
central	40697	82.61
hicieron	40617	82.45
toma	40445	82.1
niña	40417	82.04
estructura	40412	82.03
impacto	40411	82.03
empezó	40391	81.99
aspectos	40363	81.93
cuestión	40317	81.84
jugadores	40208	81.62
estás	40152	81.51
reunión	40116	81.43
salida	40102	81.4
tendrá	40083	81.37
profesional	40049	81.3
pone	40031	81.26
pareja	40025	81.25
términos	39956	81.11
superior	39916	81.03
llama	39861	80.91
Sólo	39841	80.87
dan	39814	80.82
industria	39784	80.76
octubre	39765	80.72
inversión	39693	80.57
café	39685	80.56
paz	39679	80.55
sala	39622	80.43
visión	39561	80.31
áreas	39545	80.27
espacios	39495	80.17
Sus	39490	80.16
Pues	39473	80.13
marca	39459	80.1
personajes	39444	80.07
Cuba	39430	80.04
principios	39429	80.04
viernes	39385	79.95
destino	39375	79.93
realmente	39369	79.92
aseguró	39331	79.84
]	39298	79.77
doctor	39291	79.76
cambiar	39282	79.74
comer	39225	79.62
factores	39203	79.58
dicen	39146	79.46
[	39066	79.3
escena	38998	79.16
puedan	38973	79.11
favor	38938	79.04
recuerdo	38928	79.02
arriba	38885	78.93
profesionales	38862	78.89
territorio	38860	78.88
junio	38855	78.87
habrá	38780	78.72
clave	38758	78.68
abril	38752	78.66
opinión	38719	78.6
noviembre	38712	78.58
ganar	38711	78.58
dejado	38698	78.55
pesos	38687	78.53
artista	38619	78.39
significa	38614	78.38
40	38608	78.37
escribir	38585	78.32
centros	38538	78.23
material	38485	78.12
quizá	38479	78.11
The	38469	78.09
río	38435	78.02
primeras	38433	78.02
julio	38426	78.0
distancia	38365	77.88
asunto	38327	77.8
Tras	38285	77.72
expresión	38248	77.64
24	38222	77.59
podrían	38185	77.51
ejercicio	38168	77.48
Estos	38113	77.37
Jorge	38102	77.34
kilómetros	38090	77.32
Está	38045	77.23
defensa	38043	77.22
precios	38041	77.22
derecha	38014	77.17
Miguel	38013	77.16
cierta	37999	77.13
calles	37925	76.98
comunidades	37873	76.88
responsabilidad	37863	76.86
Francia	37863	76.86
imposible	37855	76.84
Brasil	37848	76.83
confianza	37825	76.78
etapa	37789	76.71
debería	37696	76.52
considera	37658	76.44
Cada	37652	76.43
salió	37628	76.38
izquierda	37624	76.37
públicos	37614	76.35
General	37611	76.35
enorme	37594	76.31
señala	37577	76.28
técnico	37544	76.21
contexto	37515	76.15
febrero	37512	76.15
objeto	37473	76.07
ocasión	37463	76.05
…	37433	75.99
piso	37421	75.96
internacionales	37409	75.94
muerto	37402	75.92
década	37386	75.89
Ni	37338	75.79
generación	37329	75.77
septiembre	37299	75.71
Santiago	37279	75.67
conseguir	37171	75.45
popular	37167	75.45
tenga	37151	75.41
concepto	37151	75.41
decisiones	37149	75.41
protección	37142	75.39
aplicación	37117	75.34
fuentes	37101	75.31
diferente	37100	75.31
habitación	37069	75.25
contenido	36998	75.1
fuerzas	36997	75.1
vía	36981	75.07
familiar	36924	74.95
ropa	36920	74.94
versión	36906	74.92
fundamental	36837	74.78
literatura	36790	74.68
don	36686	74.47
perder	36681	74.46
lunes	36672	74.44
usuarios	36667	74.43
propios	36621	74.34
Comisión	36546	74.18
cielo	36499	74.09
líder	36480	74.05
esté	36446	73.98
%	36366	73.82
artistas	36329	73.74
fuego	36304	73.69
perdido	36283	73.65
rato	36282	73.65
19	36267	73.62
sábado	36267	73.62
pena	36240	73.56
inglés	36151	73.38
Pedro	36086	73.25
diversos	36080	73.24
necesidades	35952	72.98
esperar	35935	72.94
carne	35929	72.93
vuelve	35847	72.77
Internet	35811	72.69
Internacional	35806	72.68
leer	35730	72.53
visita	35584	72.23
vas	35574	72.21
militar	35548	72.16
condición	35531	72.12
humana	35501	72.06
demanda	35473	72.01
selección	35355	71.77
trabajos	35332	71.72
ofrece	35329	71.71
21	35314	71.68
tercera	35310	71.68
finales	35307	71.67
barrio	35292	71.64
norte	35275	71.6
ambiente	35264	71.58
ciudades	35240	71.53
estrategia	35156	71.36
necesita	35133	71.32
sensación	35084	71.22
llamada	35000	71.05
sur	34981	71.01
familiares	34966	70.98
Había	34922	70.89
recién	34908	70.86
contacto	34903	70.85
estadounidense	34891	70.83
aspecto	34875	70.79
darle	34870	70.78
inicio	34845	70.73
puedes	34843	70.73
preguntas	34788	70.62
ocurre	34758	70.56
negocio	34757	70.55
últimas	34707	70.45
indicó	34687	70.41
afirmó	34649	70.33
produce	34608	70.25
personaje	34585	70.2
posibilidades	34567	70.17
justicia	34564	70.16
obtener	34552	70.14
finalmente	34533	70.1
cumplir	34529	70.09
ámbito	34527	70.09
nacionales	34527	70.09
técnica	34468	69.97
miles	34454	69.94
Nunca	34438	69.91
organizaciones	34429	69.89
casas	34424	69.88
españoles	34414	69.86
juntos	34387	69.8
consecuencia	34371	69.77
edición	34340	69.71
carta	34239	69.5
lengua	34204	69.43
fiscal	34183	69.39
profesor	34161	69.34
llevaba	34156	69.33
Antes	34137	69.29
brazos	34131	69.28
pelo	34085	69.19
justo	34060	69.14
agosto	34023	69.06
larga	34019	69.06
intereses	34016	69.05
Creo	33963	68.94
informó	33866	68.74
golpe	33846	68.7
pasos	33841	68.69
actores	33836	68.68
22	33780	68.57
deseo	33734	68.48
empleo	33718	68.44
razones	33713	68.43
doble	33692	68.39
cáncer	33691	68.39
Antonio	33676	68.36
conciencia	33675	68.36
paciente	33657	68.32
mensaje	33632	68.27
tipos	33625	68.26
cuidado	33617	68.24
compañeros	33609	68.22
diversas	33576	68.16
científicos	33571	68.15
discurso	33571	68.15
diseño	33569	68.14
cree	33567	68.14
tercer	33556	68.12
mala	33529	68.06
grado	33520	68.04
precisamente	33495	67.99
objetivos	33476	67.95
delante	33470	67.94
ingresos	33387	67.77
nueve	33281	67.56
identidad	33242	67.48
pies	33233	67.46
reforma	33221	67.44
democracia	33215	67.42
Perú	33203	67.4
entorno	33196	67.38
menores	33187	67.37
películas	33170	67.33
Manuel	33167	67.33
rápido	33122	67.23
médicos	33111	67.21
hospital	33096	67.18
papá	33086	67.16
jamás	33084	67.16
pidió	33083	67.15
ésta	33056	67.1
directamente	33027	67.04
sentía	33018	67.02
aquellas	33004	66.99
altura	32992	66.97
verano	32968	66.92
siguientes	32962	66.91
solución	32954	66.89
lenguaje	32902	66.79
Siempre	32869	66.72
edificio	32855	66.69
eres	32850	66.68
física	32844	66.67
•	32788	66.56
Aquí	32764	66.51
plantas	32754	66.49
pruebas	32709	66.4
podido	32680	66.34
recibir	32626	66.23
marido	32620	66.22
tamaño	32523	66.02
clases	32493	65.96
responsable	32490	65.95
institución	32460	65.89
período	32442	65.85
vive	32410	65.79
motivo	32404	65.78
Fernando	32366	65.7
mismas	32329	65.62
sentir	32308	65.58
decidió	32296	65.56
hablando	32287	65.54
realizado	32196	65.35
Bueno	32178	65.32
veía	32170	65.3
mente	32159	65.28
públicas	32108	65.18
escritor	32012	64.98
compromiso	31970	64.9
máximo	31955	64.87
competencia	31927	64.81
incluye	31924	64.8
u	31902	64.76
aparece	31887	64.73
pagar	31842	64.64
víctimas	31789	64.53
normal	31776	64.5
club	31769	64.49
fiesta	31731	64.41
pese	31700	64.35
hotel	31698	64.34
quieren	31690	64.33
respeto	31674	64.29
abajo	31638	64.22
coche	31593	64.13
sabes	31589	64.12
esposa	31588	64.12
funciones	31581	64.11
podrá	31574	64.09
revista	31573	64.09
